,METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
141,1521,37119,42,1,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
142,1521,37119,17,2,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
143,3122,0,51,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
144,3121,37067,40,1,5,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
145,1521,0,33,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
146,3122,0,29,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
147,1521,37119,48,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
148,1521,37119,46,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
149,1521,37119,22,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
150,6642,0,28,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
151,1521,37119,36,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
152,1521,0,61,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
153,1521,0,64,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
154,6642,0,36,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
155,6641,0,61,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
156,1521,0,40,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
157,1521,0,39,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
158,6642,0,49,2,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
159,6641,0,43,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
160,6641,0,39,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
161,3122,0,64,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
162,3122,0,55,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
163,6642,0,49,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
164,2560,0,58,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
165,6641,0,56,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
166,6641,0,58,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
167,1521,37119,46,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
168,3121,37067,43,2,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
169,1521,37119,26,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
170,1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
171,1521,37119,34,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
172,1521,37119,34,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
173,6642,0,34,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
174,6642,0,35,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
175,6642,0,47,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
176,6642,0,35,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
177,6642,0,35,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
178,6642,0,28,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
179,1521,37119,31,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
180,1521,37119,31,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
181,3122,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
182,3122,0,24,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
183,6641,0,57,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
184,3122,0,33,1,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
185,6641,0,43,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
186,3122,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
187,3122,0,49,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
188,3122,0,33,2,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
189,1521,37119,32,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
190,1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
191,1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
192,1521,0,42,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
193,1521,0,38,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
194,1521,37179,58,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
195,1521,37179,54,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
196,1521,37179,18,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
197,1521,37179,26,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
198,6642,0,54,2,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
199,6642,0,55,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
200,6642,0,60,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
201,1521,0,28,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
202,6642,0,41,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
203,6641,0,66,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
204,6641,0,69,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
205,3121,0,49,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
206,6641,0,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
207,6641,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
208,6641,0,40,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
209,6641,0,56,1,5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
210,1521,0,50,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
211,1521,0,48,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
212,1521,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
213,1521,0,36,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
214,1521,37159,62,1,5,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
215,6642,0,56,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
