METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
3121,37067,40,1,5,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
1521,0,33,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
3122,0,29,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
1521,37119,48,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,46,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,22,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
6642,0,28,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,36,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1521,0,61,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1521,0,64,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
6642,0,36,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,61,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1521,0,40,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,0,39,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,49,2,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
6641,0,43,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,39,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3122,0,64,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
3122,0,55,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
6642,0,49,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
2560,0,58,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
6641,0,56,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,58,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,37119,46,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3121,37067,43,2,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
1521,37119,26,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,34,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,34,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,34,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,35,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,47,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
6642,0,35,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,35,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,28,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1521,37119,31,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
1521,37119,31,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1
3122,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
3122,0,24,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
6641,0,57,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3122,0,33,1,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
6641,0,43,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
3122,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
3122,0,49,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
3122,0,33,2,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
1521,37119,32,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37119,27,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,0,42,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,0,38,2,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,37179,58,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37179,54,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,37179,18,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1521,37179,26,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
6642,0,54,2,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
6642,0,55,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
6642,0,60,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1521,0,28,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
6642,0,41,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
6641,0,66,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,69,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
3121,0,49,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,35,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6641,0,35,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,40,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
6641,0,56,1,5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
1521,0,50,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
1521,0,48,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
1521,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,0,36,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1521,37159,62,1,5,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
6642,0,56,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,47,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
6642,0,62,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,35,2,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
6641,0,27,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
6641,0,38,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,0,47,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
1521,0,43,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
6641,0,21,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
6641,0,49,2,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,50,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,51,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,51,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
3122,0,56,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
3122,0,56,1,5,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
6642,0,37,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,61,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
6642,0,57,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1521,37119,63,1,5,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0
6642,0,44,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,47,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,36,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,36,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,0,61,2,5,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
